espagnol,francais
pregunta,Question
fui,Je suis allé
cuatro,quatre
sra,SRA
primer,première
trabajar,travailler
e,et
hagas,tu fais
alto,haute
maldita,méchant
comer,manger
número,Numéro
dar,mais
necesitas,vous avez besoin
oportunidad,chance
punto,indiquer
misma,même
última,dernière
afuera,à l'extérieur
mujeres,femmes
pensar,pense
fueron,étaient
difícil,difficile
vivir,vivre
paso,marcher
malo,chambre
estabas,Vous étiez
vivo,vivo
haga,Fabriquer
queda,restes
hijos,fils
mayor,maire
fiesta,fiesta
hacen,Fabriquer
medio,moyen
algunas,quelques
basta,c'est juste
arma,arme
vino,vin
meses,mois
cuarto,Quatrième
éste,Est
escuela,école
esté,Est
dólares,Dollar
tío,l'oncle
posible,possible
tuve,j'avais
fácil,facile
preocupes,inquiétude
luz,lumière
eran,étaient
carajo,Merde
final,final
lista,liste
trata,sur
armas,arme
hermana,sœur
exactamente,exactement
chicas,les filles
podía,pourrait
bastante,assez
seguridad,Sécurité
pasando,Aller
esperando,attendre
acá,ici
teléfono,Téléphone
perro,chien
fuego,Feu
murió,il est mort
tampoco,Soit
sola,unique
estuvo,il était
verte,verte
iré,J'irai
tenido,Teint
culpa,défaut
veras,tu verras
adónde,où
buscando,chercher
cuanto,combien
padres,pères
paz,paix
demonios,démons
estará,sera
cual,qui
perdón,Pardon
asi,mais
jugar,jouer
pensando,en pensant
esperar,attendre à
sabemos,nous savons
recuerdo,souvenir
par,sur
joven,un jeune homme
seguir,suivre
pueblo,village
tenga,ont
caballeros,Messieurs
idiota,idiot
dio,partie
minuto,minutes
bebé,bébé
única,seulement
lejos,loin
nuestras,les notres
plan,planifier
pienso,je pense
sentido,sens
dormir,dormir
digas,vous dites
palabra,mot
correcto,C'est Correct
control,contrôler
vemos,nous voyons
entiendes,Vous comprenez
país,Pays
seis,six
último,dernière
ésta,est
diga,dire
podrías,pouvez-vous
pequeña,petite
cállate,fermer
trato,accord
rey,rey
sucede,arrive
muchachos,garçons
jamás,Jamais
cama,lit
srta,Mme
ayudar,aider
acerca,sur
di,de
cambio,changement
falta,manque
hospital,hôpital
lleva,transport
presidente,président
mil,mille
gusto,Vouloir
conoces,vous connaissez
diciendo,en disant
os,tu
ido,œil
general,général
extraño,bizarre
semanas,semaines
coche,entraîneur
peor,pire
mucha,beaucoup
disculpe,pardon
diré,je dirai
anoche,la nuit dernière
perder,perdre
vámonos,Allons-y
nave,nef
cielo,ciel
habrá,aura
orden,ordre
segura,sûr
querida,Mon chéri
niña,fille
increíble,incroyable
además,en outre
deben,devraient
libro,livre
calle,rue
café,café
piensas,Tu penses
hacemos,nous faisons
especial,Spécial
queremos,nous voulons
irme,Aller
perfecto,parfait
buscar,chercher
odio,détester
piensa,pense
oficina,Bureau
hablas,parler
libre,libre
agente,agent
york,York
llamar,appeler
mala,elle avait
detrás,derrière
viste,connaissait
dile,Langue
grandes,de grands
recuerdas,rappelles toi
real,réel
estaban,Ils étaient
mía,serré
frente,de face
perdido,perdu
llamo,appelé
muertos,morte
millones,des millions
asesino,assassin
sueño,rêve
quisiera,Je voudrais
habría,il y aurait
hará,ça ira
viaje,voyage
probablemente,Probablement
resto,le repos
estaré,Je serai
maldición,Zut
lamento,suis désolé
muchacho,jeune gars
avión,avion
ropa,vêtements
fuerza,force
llamado,appelé
oído,oreille
dado,dé
encima,sur
negro,nègre
usar,utiliser
información,informations
uds,uds
preguntas,des questions
tuvo,Il avait
secreto,secret
vuelve,Revenir
miren,Mirente
quieras,Tu veux
haría,ferait
acaba,prend fin
otras,les autres
incluso,même
sientes,tu sens
deberíamos,nous devrions
haz,haz
decirte,te dire
boca,boca
dolor,la douleur
baño,bain
adentro,à l'intérieur
profesor,professeur
habitación,chambre
daño,dégâts
tuyo,sec
seas,mers
noticias,informations
demás,le reste
querido,cher
duro,supporter
poner,"mettre, poser"
prueba,test
mire,par le temps
tonto,tonto
campo,champ
siendo,étant
diez,dix
ése,ce
tranquilo,calme
asunto,aventure
acabó,terminé
quédate,rester
derecho,droit
placer,placeur
recuerda,rappelles toi
estuve,a été
tratando,traitement
ejército,armée
futuro,avenir
llevar,apporter
compañía,compagnie
venido,je viens
listos,Prêt
haremos,sera
sitio,place
verlo,le voir
puesto,Étal de marché
atención,attention
sino,Par ailleurs
cambiar,changer
error,Erreur
blanco,blanc
raro,en dessous de
palabras,mots
llegó,j'arrive
sal,devoir
pase,passer
mente,dérange
sistema,système
película,film
anda,tu
ello,ce
negocio,Entreprise
novia,petite amie
permiso,autorisation
creí,je croyais
suena,des sons
ocurre,se produit
oficial,officiel
aire,air
mató,tué
regresar,rendre
vio,il a vu
hazlo,fais le
trasero,arrière
grupo,groupe
entendido,c'est compris
señorita,Mademoiselle
música,chanson
perra,chienne
conoce,connu
empezar,début
siente,Se sentir
acabo,terminé
estúpido,stupide
diferente,différent
traje,ça dure
modo,façon
encontré,j'ai trouvé
mensaje,message
llamada,appel
navidad,Noël
eras,époques
pena,la plume
largo,long
entra,entrer dans
piso,appartement
foto,photo
dijeron,Ils ont dit
médico,docteur
accidente,accident
fuiste,vous étiez
imposible,impossible
podríamos,nous pourrions
línea,ligne
propia,posséder
barco,bateau
ganar,Gain
normal,Ordinaire
segundos,deuxième
vive,Direct
mitad,demi
quiera,vouloir
tras,après
decirle,Dit lui
lindo,jolie
funciona,Ça marche
programa,programme
vine,vigne
abre,ouvert
sean,Sean
pagar,Payer
fotos,Photos
centro,centre
supone,Il suppose
basura,Déchets
situación,situant
mejores,Haut
vienen,Ils viennent
encanta,amours
marido,mari
personal,personnel
maestro,maestro
hambre,faim
ataque,attaque
culo,cul
dale,vallée
pie,à proximité
conseguir,obtenir
trabajando,travail
gracioso,drôle
dejó,laisser
pudo,pourrait
derecha,droite
izquierda,gauche
próxima,Suivant
pobre,pauvre
respuesta,réponse
tipos,les types
sentir,sentir
tenías,Tu avais
pude,Je pourrais
darle,donne lui
voz,voix
amiga,amiga
gustan,Glustan
vista,vue
salvo,enregistré
loca,loca
hotel,Hôtel
hicieron,ils ont fabriqué
ten,Dix
temo,sujet
señal,pancarte
pelo,fourrure
llevo,usure
ayer,Hier
das,la
nena,Nena
servicio,service
tren,former
bonito,jolie
mes,Nous
tendrá,aura
tendrás,Tu vas avoir
edad,âge
ellas,elles
hermosa,belle
honor,honneur
simplemente,simplement
llamas,lamas
tengas,Ont
corre,se corriger
baja,court
siéntate,assis-toi
dan,et
humano,Humain
divertido,drôle
sexo,sexe
vuelto,tourné
peligro,danger
mesa,mesa
siguiente,Prochain
disculpa,Pardon
decirme,Dites-moi
caja,caisse
negocios,Entreprise
misión,mission
silencio,le silence
sale,vendre
llegado,arrivé
estaría,Il serait
regreso,Revenir
media,médias
estan,sommes
propio,se proposer
oro,air
enseguida,tout de suite
linda,linda
prometo,promettre
esposo,époux
norte,Nord
hubo,il y avait
juro,Droit
muerta,morte
interesante,intéressant
pensaba,pensait
busca,chercher
terminar,finir
tendré,J'aurais
completamente,totalement
cita,différent
siete,sept
cumpleaños,date d'anniversaire
abogado,avocat
alrededor,autour de
cerebro,cerveau
porqué,parce que
llave,clé
santo,Saint
hermoso,Beau
necesario,nécessaire
edificio,imeuble
irnos,Aller
aun,toujours
tendremos,nous aurons
vayas,aller
doy,donner
trae,apporte
salió,il est parti
ley,droit
ahi,raid
verdadero,réel
pelea,Lutte
banco,Banque
terrible,terrible
calma,calmes
cena,cena
daré,je donnerai
gobierno,gouvernement
comprar,achat
creen,Ils croient
sargento,sergent
destino,destin
existe,existant
hacía,envers
novio,copain
sala,salon
través,à travers
regalo,cadeaux
iglesia,église
decía,Il a dit
cualquiera,n'importe quel
excelente,génial
esperen,ils espèrent
deseo,désir
alma,alma
diablo,diablo
deje,va être fait
cuántos,de nombreux
espada,épée
estábamos,Nous étions
carne,Viande
maravilloso,Merveilleux
vidas,des vies
sucedió,passé
oí,J'ai entendu
peligroso,dangereux
dirección,adresse
libertad,liberté
jesús,Jésus
ocurrió,C'est arrivé
veré,je verrai
sueños,rêves
pudiera,pourrait
detective,détective
sorpresa,surprendre
tuya,le tiens
pies,tartes
club,club
terminado,achevé
infierno,enfer
creía,je croyais
luna,Haut
salvar,sauver
carta,papier
estés,être
cielos,Cieux
teniente,lieutenant
encuentra,trouver
veamos,Voyons voir
quise,je voulais
escúchame,écoutez-moi
necesitan,Ils ont besoin
ambos,les deux
decisión,décision
enemigo,ennemi
hicimos,Nous faisions
dulce,sucré
pruebas,tests
querías,Tu voulais
abuelo,grand-père
totalmente,totalement
mirando,regarder
vayan,aller
carrera,course
